ID,Gender,DevTyp,WBC,LYMp,MONp,NEUp,EOSp,BASOp,LYMn,MONn,NEUn,EOSn,BASOn,RBC,HGB,HCT,MCV,MCH,MCHC,RDWSD,RDWCV,PLT,MPV,PDW,PCT,PLCR,PLCC
58,1.0,2.0,2.91,55.73,4.34,37.85,1.17,0.91,1.62,0.13,1.1,0.03,0.03,4.21,10.69,36.3,862.0,25.4,29.4,47.6,13.8,231.5,8.9,17.3,0.21,41.3,93.41783873477206
59,0.0,2.0,16.02,24.96,4.83,68.9,0.36,0.95,4.0,0.77,11.04,0.06,0.15,4.97,10.31,37.7,75.9,20.7,27.3,52.2,17.2,76.0,10.4,18.6,0.22,54.2,56.368804587330395
60,1.0,1.0,19.85,49.34,2.94,45.24,1.92,0.56,11.94,0.711,10.948,0.465,0.136,2.73,7.3,20.3,74.4,26.7,36.0,38.0,11.4,521.0,8.4,7.2,0.44,17.37,90.0
61,1.0,2.0,15.28,10.47,5.69,75.5,5.69,2.65,1.6,0.87,11.54,0.87,0.4,2.7,5.2,18.4,68.1,19.3,28.3,51.8,19.0,354.9,8.4,18.3,0.3,35.3,100.88192414055098
62,1.0,2.0,11.05,5.96,4.73,88.48,0.19,0.64,0.66,0.52,9.78,0.02,0.07,3.46,7.33,25.5,73.7,21.2,28.7,58.4,19.8,52.0,9.7,19.5,0.05,50.2,42.84973793072663
63,0.0,2.0,27.7,66.16,7.92,21.73,3.05,1.14,33.76,4.04,11.09,1.56,0.58,3.27,8.83,24.3,74.3,27.0,36.3,86.2,29.0,747.9,9.2,18.7,0.69,44.7,217.51426429954836
64,1.0,2.0,4.68,30.24,12.6,51.27,5.66,0.23,1.42,0.59,2.4,0.26,0.01,4.44,14.7,43.7,98.4,33.1,33.6,57.1,14.5,287.5,7.7,17.0,0.22,28.3,62.96875784399378
65,1.0,2.0,10.07,27.72,11.03,53.8,11.03,7.35,2.79,1.11,5.42,0.74,0.01,4.79,12.52,38.3,80.0,26.1,32.7,46.7,14.6,291.4,7.8,16.5,0.23,30.7,70.12309046479305
66,0.0,2.0,1.1,26.51,49.11,23.64,0.0,0.74,0.29,0.54,0.26,0.0,0.01,2.6,8.17,23.1,88.8,31.4,35.4,51.1,14.4,4.1,10.15751945109468,17.74691011014216,0.5573569152474851,41.106284112726705,2.9383200704841954
67,0.0,2.0,5.82,44.83,10.58,43.08,1.35,0.16,2.6,0.62,2.51,0.08,0.01,4.61,10.98,33.3,72.2,23.8,33.0,38.7,13.4,279.3,9.2,17.4,0.26,42.6,89.09121897085848
68,0.0,1.0,7.32,21.74,4.5,73.12,0.38,0.26,1.591,0.329,5.352,0.028,0.019,3.73,12.4,41.2,110.2,33.2,30.0,51.8,11.0,106.0,7.2,5.4,0.08,16.8,18.0
69,0.0,1.0,3.28,27.67,6.61,64.16,1.16,0.4,0.908,0.217,2.104,0.038,0.013,4.12,7.8,29.8,72.3,18.9,26.0,39.1,14.6,155.0,8.0,7.9,0.12,52.45,81.0
70,0.0,2.0,5.94,31.24,6.16,61.93,0.58,0.09,1.89,0.37,3.67,0.03,0.01,4.64,13.45,40.0,86.2,29.0,33.6,45.2,13.1,297.6,9.4,18.0,0.28,45.1,95.4921537138085
71,0.0,1.0,2.89,43.7,5.94,49.75,0.43,0.18,1.263,0.172,1.438,0.012,0.005,2.55,6.6,21.6,84.8,25.9,31.0,49.5,15.5,33.0,10.3,7.2,0.03,44.09,15.0
72,1.0,1.0,5.27,32.96,4.38,55.56,6.64,0.46,1.737,0.231,2.928,0.35,0.024,3.36,10.4,34.5,102.6,31.0,30.0,48.3,11.3,249.0,7.9,5.8,0.2,13.16,33.0
73,1.0,1.0,8.76,27.95,8.85,62.13,0.62,0.45,2.448,0.775,5.443,0.054,0.039,4.31,8.3,27.7,64.2,19.3,30.0,34.5,13.1,213.0,8.0,5.0,0.17,39.51,84.0
74,1.0,1.0,11.62,64.18,8.14,25.83,1.35,0.5,7.458,0.946,3.001,0.157,0.058,5.28,15.2,47.1,80.2,28.8,32.0,41.4,11.8,196.0,7.4,5.4,0.15,17.42,34.0
75,0.0,2.0,14.12,25.06,14.84,58.39,1.2,0.51,3.54,2.1,8.24,0.17,0.07,4.5,12.65,37.8,84.0,28.1,33.5,45.4,13.5,230.8,10.5,19.3,0.24,54.5,89.02294081338195
76,0.0,1.0,10.02,11.0,5.14,83.05,0.63,0.18,1.102,0.515,8.322,0.063,0.018,2.73,6.9,23.3,85.4,253.0,30.0,54.0,17.3,96.0,8.6,6.8,0.08,35.02,34.0
77,0.0,1.0,13.23,17.46,5.13,76.45,0.74,0.22,2.31,0.679,10.114,0.098,0.029,4.37,12.4,41.4,94.7,28.4,30.0,48.3,12.8,294.0,6.9,5.4,0.2,8.78,26.0
78,0.0,1.0,484.0,33.61,8.17,56.38,1.47,0.37,1.627,0.395,2.729,0.071,0.018,4.36,9.6,34.3,78.7,22.0,28.0,48.3,16.1,142.0,8.8,9.7,0.12,50.3,71.0
